Uniprot	Genename
A0A060X2Y8	GSONMT00010165001
A0A1S3PJS8	hnrnpk
A0A1S3R483	ncstn
A0A1S3PE32	LOC106584698
A0A060X682	GSONMT00016422001
A0A1S3SBI6	LOC106608335
A0A060YXP2	GSONMT00040850001
A0A1S3RKM1	LOC106603334
A0A1S3Q3Y1	heatr1
A0A060VPE5	ctsb
A0A1S3M4G3	lrsam1
A0A060ZB92	GSONMT00059715001
A0A060VXQ0	LOC110497426
A0A060Z249	GSONMT00009093001
A0A1S3PN92	LOC106586419
A0A060YRF9	GSONMT00033943001
B9ELE8	UBIQ
A0A1S3QE14	LOC106591477
A0A060YZ45	GSONMT00004254001
A0A1S3PH49	LOC106585350
A0A060YBY3	GSONMT00035856001
B5X0W2	GDIR
A0A1S3N7V7	LOC106577627
A0A060XCE8	LOC110521844
A0A1S3MUM9	gart
A0A060YAB9	LOC110497365
A0A060WNN2	GSONMT00025943001
A0A060VNQ6	GSONMT00081443001
B5X4Y9	pter
C1BEZ2	H33
Q98973	LOC100136296
A0A1S3KTR7	LOC106562028
B5X3Q1	ARF1
B5X2P4	STX10
A0A1S3P886	LOC106583779
A0A1S3LDE4	LOC106565674
B9ENY6	NO29
A0A060VSV9	GSONMT00075686001
A0A060XTZ8	GSONMT00000052001
A0A060Y2D3	GSONMT00057219001
W0LQT2	ND5
A0A060XRI5	GSONMT00044921001
A0A060WBS8	GSONMT00071687001
A0A060VM90	LOC110506325
A0A1S3RV52	LOC106604973
A0A1S3SF11	LOC106609071
A0A060Y501	GSONMT00019457001
A0A1S3MQ35	LOC106573983
A0A1S3SUP3	LOC106611917
A0A060WSF3	GSONMT00004086001
A0A060WHB4	GSONMT00070100001
A0A1S3LMV1	uba3
B5X147	SCPDH
A0A1S3MHK7	LOC106572756
A0A060Y351	LOC110488895
A0A060XHR3	GSONMT00051183001
A0A1S3R5J8	LOC106600220
C1BFF5	ARPC3
A0A060ZVC3	GSONMT00017102001
A0A060Z405	GSONMT00015560001
A0A060W748	GSONMT00068091001
A0A1S3PR50	LOC106586700
A0A060XUA7	GSONMT00042008001
A0A060ZAG6	GSONMT00009330001
A0A1S3QIB0	LOC106592940
A0A1S3MID5	slc2a5
A0A060W5L4	LOC110526385
A0A060WE78	GSONMT00072970001
A0A060ZE71	GSONMT00026574001
A0A1S3LXU6	mep1b
A0A060Z2I2	GSONMT00044350001
A0A1S3KWU4	fah
A0A060WHH6	GSONMT00070286001
A0A060XH06	GSONMT00020938001
A0A060XSL8	ptcd3
C1BH44	CA050
B5X5R4	PPIH
A0A1S3LLJ3	LOC106567267
A0A060Y9C8	GSONMT00058610001
A0A060WHI0	GSONMT00075433001
A0A060X3U3	LOC100136146
A0A060W754	GSONMT00068098001
A0A060Y0A0	GSONMT00041168001
A0A1S3KX53	LOC106562741
B5X4B6	GBB1
A0A060W5D1	GSONMT00080444001
A0A060W4J3	GSONMT00066189001
A0A1S3MIP0	LOC106572789
A0A060X5A4	GSONMT00018970001
A0A060YAQ5	LOC110500180
A0A060X6F4	GSONMT00062640001
A0A060Y716	GSONMT00000582001
A0A060VMN8	mtres1
A0A060YQM4	GSONMT00047982001
A0A060WHB9	GSONMT00070107001
A0A1S3SF35	ace2
A0A060WYC3	GSONMT00001871001
A0A060WWQ7	GSONMT00063106001
A0A060WP44	GSONMT00075279001
A0A060VYM0	LOC110488667
A0A1S3MBR5	LOC106571681
B5X6N4	CHCH7
B5DG58	brp44
A0A060YWD6	GSONMT00025432001
A0A060XDJ4	GSONMT00049675001
Q20A01	CSRP1
A0A060W1B2	LOC110502271
A0A060VMD6	GSONMT00070821001
A0A1S3MIL1	LOC100380727
A0A1S3PZQ9	LOC106588577
A0A060WIJ6	SDHB
A0A060WVI5	GSONMT00019388001
A0A060Y1H7	GSONMT00058177001
B5XFB0	BRK1
A0A060YC35	GSONMT00007216001
B5X6W2	CYTB
C1BIF2	RAP1B
A0A1S3MGG2	LOC106572544
Q9DG75	LOC100135886
A0A1S3P927	LOC100136426
A0A1S3QMB1	LOC101448032
A0A1S3RSN6	nanp
A0A060Z1E9	GSONMT00014154001
A0A060Z3R7	GSONMT00004724001
A0A060XME7	GSONMT00025856001
A0A060XMQ4	GSONMT00037910001
A0A060WWX3	GSONMT00060086001
